token,pos,lemma,aspect,tense,verbForm,voice,mood,number,person,case,gender
discederet,v,discedo,imperf,past,finite,active,coni,sg,3,,
vel,coniunctio,vel,,,,,,,,,
minoris,adi,paruus,,,,,,sg,,gen,n
pallium,n,pallius,,,,,,sg,,acc,n
addicere,v,addico,imperf,praes,infinitive,active,,,,,
placuit,v,placeo,perf,past,finite,active,ind,sg,3,,
pretium,n,pretium,,,,,,sg,,acc,n
maioris,adi,magnus,,,,,,sg,,gen,n
compendii,n,compendium,,,,,,sg,,gen,n
leviorem,n,leior,,,,,,sg,,acc,m
faceret,v,facio,imperf,past,finite,active,coni,sg,3,,
iacturam,v,iaciro,imperf,praes,participle,active,,sg,,acc,f
primum,adi,primus,,,,,,sg,,acc,n
explicuimus,v,explicuo,imperf,praes,finite,active,ind,pl,1,,
mercem,n,merx,,,,,,sg,,acc,f
mulier,n,mulier,,,,,,sg,,nom,f
operto,v,operio,perf,past,participle,passive,,sg,,abl,n
capite,n,capus,,,,,,sg,,abl,n
quae,pron,qui,,,,,,sg,,acc,f
rustico,n,rusticus,,,,,,sg,,dat,m
steterat,v,steto,perf,pluperfect,finite,active,ind,sg,3,,
inspectis,v,inspicio,perf,past,participle,passive,,pl,,dat,m
diligentius,adv,diligenter,,,,,,,,,
signis,n,signum,,,,,,pl,,dat,n
iniecit,v,iniicio,perf,past,finite,active,ind,sg,3,,
utramque,pron,uterque,,,,,,sg,,acc,f
laciniae,n,lacinia,,,,,,sg,,gen,f
manum,n,manus,,,,,,sg,,acc,f
magnaque,adi,magnus,,,,,,sg,,abl,f
vociferatione,n,vociferatio,,,,,,sg,,abl,f
latrones,n,latro,,,,,,pl,,acc,m
tenere,v,teneo,imperf,praes,infinitive,active,,,,,
clamavit,v,clamo,perf,past,finite,active,ind,sg,3,,
contra,adp,contra,,,,,,,,,
perturbati,v,perturbo,perf,past,participle,passive,,pl,,nom,m
videremur,v,videremur,imperf,past,finite,passive,coni,pl,1,,
nihil,pron,nihil,,,,,,sg,,acc,n
agere,v,ago,imperf,praes,infinitive,active,,,,,
ipsi,pron,ipse,,,,,,sg,,dat,m
scissam,v,scio,perf,past,participle,passive,,sg,,acc,f
sordidam,adi,sordidus,,,,,,sg,,acc,f
tenere,v,teneo,imperf,praes,infinitive,active,,,,,
coepimus,v,coepi,perf,past,finite,active,ind,pl,1,,
tunicam,n,tunicus,,,,,,sg,,acc,f
eadem,pron,idem,,,,,,sg,,abl,f
invidia,n,invidia,,,,,,sg,,abl,f
proclamare,v,proclamo,imperf,praes,infinitive,active,,,,,
nostra,adj,noster,,,,,,pl psor,psor,acc,n
esse,aux,sum,,praes,infinitive,active,,,,,
spolia,n,spolium,,,,,,pl,,acc,n
quae,pron,qui,,,,,,pl,,nom,n
illi,pron,ille,,,,,,pl,,nom,m
possiderent,v,possideo,imperf,past,finite,active,coni,pl,3,,
nullo,adi,nullus,,,,,,sg,,abl,n
genere,n,genus,,,,,,sg,,abl,n
par,adi,par,,,,,,sg,,nom,f
erat,aux,sum,imperf,past,finite,active,ind,sg,3,,
causa,n,causa,,,,,,sg,,nom,f
cociones,n,cocio,,,,,,pl,,acc,m
qui,pron,qui,,,,,,pl,,nom,m
ad,adp,ad,,,,,,,,,
clamorem,n,clamor,,,,,,sg,,acc,m
confluxerant,v,confluo,perf,past,finite,active,ind,pl,3,,
nostram,adi,noster,,,,,,sg psor,psor,acc,f
scilicet,coniunctio,scilicet,,,,,,,,,
de,adp,de,,,,,,,,,
more,n,mos,,,,,,sg,,abl,m
ridebant,v,rideo,imperf,past,finite,active,ind,pl,3,,
invidiam,n,invidiam,,,,,,sg,,acc,f
quod,coniunctio,quod,,,,,,,,,
illa,pron,ille,,,,,,sg,,abl,f
parte,n,pars,,,,,,sg,,abl,f
vindicabant,v,vindicabant,imperf,past,finite,active,ind,pl,3,,
pretiosissimam,adi,pretiosus,,,,,,sg,,acc,f
vestem,n,vestem,,,,,,sg,,acc,f
hac,pron,hic,,,,,,sg,,abl,f
pannuciam,n,pannucia,,,,,,sg,,acc,f
centonibus,adi,centonus,,,,,,pl,,abl,m
quidem,adv,quidem,,,,,,,,,
bonis,n,bonum,,,,,,pl,,abl,n
dignam,adi,dignus,,,,,,sg,,acc,f
hinc,adv,hinc,,,,,,,,,
ascyltos,n,ascyltus,,,,,,sg,,nom,m
bene,adv,bene,,,,,,,,,
risum,n,risus,,,,,,sg,,acc,m
discussit,v,discudo,perf,past,finite,active,ind,sg,3,,
qui,pron,qui,,,,,,pl,,nom,m
silentio,n,silentio,,,,,,sg,,abl,n
facto,v,facio,perf,past,participle,passive,,sg,,abl,n
primum,adi,primus,,,,,,sg,,acc,n
beneficio,n,beneficium,,,,,,sg,,abl,n
gitonis,n,gito,,,,,,sg,,gen,m
praeparata,v,praeparo,perf,past,participle,passive,,pl,,acc,n
implevimus,v,impleo,imperf,praes,finite,active,ind,pl,1,,
cena,n,coena,,,,,,sg,,abl,f
ostium,n,os,,,,,,sg,,acc,m
satis,adv,satis,,,,,,,,,
audaci,adi,audacus,,,,,,sg,,abl,m
strepitu,n,strepitus,,,,,,sg,,abl,m
impulsum,n,impulsus,,,,,,sg,,acc,m
exsonuit,v,exsono,perf,past,finite,active,ind,sg,3,,
ipsi,pron,ipse,,,,,,pl,,dat,m
pallidi,adi,pallidus,,,,,,pl,,nom,m
rogaremus,v,rogo,imperf,past,finite,active,coni,pl,1,,
quis,pron,quis,,,,,,sg,,nom,m
esset,v,sum,imperf,past,finite,active,coni,sg,3,,
aperi,v,aperio,imperf,praes,finite,active,imperative,sg,2,,
inquit,v,inquam,imperf,praes,finite,active,ind,sg,3,,
scies,v,scio,imperf,fut,finite,active,ind,sg,2,,
dumque,adv,dumque,,,,,,,,,
loquimur,v,loquor,imperf,praes,finite,passive,ind,pl,1,,
sera,adp,sera,,,,,,,,,
sua,pron,suus,,,,,,sg,psor,abl,f
sponte,n,spons,,,,,,sg,,abl,f
delapsa,v,delabor,perf,past,participle,passive,,sg,,abl,f
cecidit,v,cado,perf,past,finite,active,ind,sg,3,,
reclusaeque,v,reclusoquor,perf,past,participle,passive,,sg,,gen,f
subito,adv,subito,,,,,,,,,
fores,n,forum,,,,,,pl,,acc,m
admiserunt,v,admitto,perf,past,finite,active,ind,pl,3,,
intrantem,v,intro,imperf,praes,participle,active,,sg,,acc,m
mulier,n,mulier,,,,,,sg,,nom,f
erat,aux,sum,imperf,past,finite,active,ind,sg,3,,
operto,v,operio,perf,past,participle,passive,,sg,,abl,m
capite,n,capus,,,,,,sg,,abl,n
me,pron,ego,,,,,,sg,,acc,m
derisisse,v,deredo,perf,past,infinitive,active,,,,,
inquit,v,inquam,imperf,praes,finite,active,ind,sg,3,,
vos,pron,vos,,,,,,pl,,acc,m
putabatis,v,puto,imperf,past,finite,active,ind,pl,2,,
sum,aux,sum,,praes,finite,active,ind,sg,1,,
ancilla,n,ancilla,,,,,,sg,,nom,f
quartillae,n,quartilla,,,,,,sg,,gen,f
cuius,pron,qui,,,,,,sg,,gen,m
vos sacrum,n,vos sacrum,,,,,,sg,,acc,m
cryptam,n,crypta,,,,,,sg,,acc,f
turbastis,v,turbo,perf,past,finite,active,ind,pl,2,,
ecce,adv,ecce,,,,,,,,,
ipsa,pron,ipse,,,,,,sg,,nom,f
venit,v,venio,imperf,past,finite,active,ind,sg,3,,
ad,adp,ad,,,,,,,,,
stabulum,n,stabulum,,,,,,sg,,acc,n
petitque,v,petior,imperf,praes,finite,active,ind,sg,3,,
vobiscum,pron,ego,,,,,,pl,,dat,m
loqui,v,loquor,imperf,praes,infinitive,passive,,,,,
liceat,v,licet,imperf,praes,finite,active,coni,sg,3,,
nolite,v,nolo,imperf,praes,finite,active,imperative,pl,2,,
perturbari,v,perturbo,imperf,praes,infinitive,passive,,,,,
accusat,v,accuso,imperf,praes,finite,active,ind,sg,3,,
errorem,n,error,,,,,,sg,,acc,m
vestrum,adi,vestrum,,,,,,sg psor,psor,acc,m
punit,v,punio,imperf,praes,finite,active,ind,sg,3,,
immo,adv,immo,,,,,,,,,
potius,adv,potius,,,,,,,,,
miratur,v,miror,imperf,praes,finite,passive,ind,sg,3,,
quis,pron,quis,,,,,,sg,,nom,m
deus,n,deus,,,,,,sg,,nom,m
iuvenes,adi,iuvenes,,,,,,pl,,acc,m
urbanos,adi,urbanus,,,,,,pl,,acc,m
in,adp,in,,,,,,,,,
suam,adi,suus,,,,,,sg,psor,acc,f
regionem,n,regio,,,,,,sg,,acc,m
detulerit,v,defero,perf,past,finite,active,coni,sg,3,,
volebamus,v,volebamus,imperf,past,finite,active,ind,pl,1,,
miseri,n,miser,,,,,,pl,,nom,m
exclamare,v,exclamo,imperf,praes,infinitive,active,,,,,
in,adp,in,,,,,,,,,
auxilio,n,auxilium,,,,,,sg,,abl,n
erat,v,sum,imperf,past,finite,active,ind,sg,3,,
quisquam,pron,quisquam,,,,,,sg,,nom,m
hinc,adv,hinc,,,,,,,,,
psyche,n,psycus,,,,,,sg,,nom,f
acu,n,acus,,,,,,sg,,abl,f
comatoria,adi,comatorius,,,,,,sg,,abl,f
cupienti,v,cupio,imperf,praes,participle,active,,sg,,dat,m
mihi,pron,ego,,,,,,sg,,dat,m
invocare,v,invoco,imperf,praes,infinitive,active,,,,,
quiritum,v,quiro,perf,past,participle,passive,,pl,,gen,m
fidem,n,fides,,,,,,sg,,acc,f
malas,adi,malus,,,,,,pl,,acc,f
pungebat,v,pungo,imperf,past,finite,active,ind,sg,3,,
illinc,adv,illinc,,,,,,,,,
puella,n,puella,,,,,,sg,,nom,f
penicillo,n,penicillum,,,,,,sg,,abl,n
quod,coniunctio,quod,,,,,,,,,
ipsum,pron,ipse,,,,,,sg,,acc,m
satureo,adv,satureo,,,,,,,,,
tinxerat,v,tingo,perf,pluperfect,finite,active,ind,sg,3,,
ascylton,n,ascylton,,,,,,sg,,acc,m
opprimebat,v,opprimo,imperf,past,finite,active,ind,sg,3,,
ultimo,adi,ultimus,,,,,,sg,,abl,m
cinaedus,adi,cinaedus,,,,,,sg,,nom,m
supervenit,v,supervenio,imperf,praes,finite,active,ind,sg,3,,
myrtea,n,myrtea,,,,,,sg,,abl,f
subornatus,v,suborno,perf,past,participle,passive,,sg,,nom,m
gausapa,n,gausapum,,,,,,sg,,abl,f
cinguloque,n,cingulum,,,,,,sg,,abl,m
succinctus,v,succingo,perf,past,participle,passive,,sg,,nom,m
extortis,adi,extors,,,,,,pl,,abl,f
clunibus,n,clunis,,,,,,pl,,abl,m
cecidit,v,cado,perf,past,finite,active,ind,sg,3,,
basiis,n,basium,,,,,,pl,,abl,n
olidissimis,adi,olidus,,,,,,pl,,abl,n
inquinavit,v,inquino,perf,past,finite,active,ind,sg,3,,
donec,adv,donec,,,,,,,,,
quartilla,n,quartilla,,,,,,sg,,nom,f
ballaenaceam,n,ballaenaceus,,,,,,sg,,acc,f
tenens,v,teneo,imperf,praes,participle,active,,sg,,nom,m
virgam,n,virgam,,,,,,sg,,acc,f
alteque,adv,alteque,,,,,,,,,
succincta,v,succingo,perf,past,participle,passive,,sg,,abl,f
iussit,v,iubeo,perf,past,finite,active,ind,sg,3,,
infelicibus,adi,infelix,,,,,,pl,,dat,m
dari,v,do,imperf,praes,infinitive,passive,,,,,
missionem,n,missio,,,,,,sg,,acc,f
uterque,pron,uterque,,,,,,sg,,nom,m
nostrum,adi,noster,,,,,,sg psor,psor,acc,m
religiosissimis,adi,religiosus,,,,,,pl,,dat,m
iuravit,v,iuro,perf,past,finite,active,ind,sg,3,,
verbis,n,verbis,,,,,,pl,,dat,m
duos,num,duo,,,,,,pl,,acc,m
periturum,v,pereo,imperf,praes,participle,active,,sg,,acc,m
esse,aux,sum,,praes,infinitive,active,,,,,
horribile,adi,horribilis,,,,,,sg,,acc,n
secretum,n,secerno,,,,,,sg,,acc,n
intraverunt,v,intro,perf,past,finite,active,ind,pl,3,,
palaestritae,n,palaestritus,,,,,,pl,,nom,f
quamplures,pron,quampluris,,,,,,pl,,acc,m
legitimo,adi,legitimus,,,,,,sg,,abl,n
perfusos,v,pergudo,perf,past,participle,passive,,pl,,acc,m
oleo,n,oleum,,,,,,sg,,abl,n
refecerunt,v,reficio,perf,past,finite,active,ind,pl,3,,
utcunque,adv,utcunque,,,,,,,,,
lassitudine,n,lassitudo,,,,,,sg,,abl,f
abiecta,v,abiicio,perf,past,participle,passive,,pl,,acc,n
cenatoria,n,cenatorium,,,,,,sg,,abl,n
repetimus,v,repeto,imperf,praes,finite,active,ind,pl,1,,
in,adp,in,,,,,,,,,
proximam,adi,proximus,,,,,,sg,,acc,f
cellam,n,cella,,,,,,sg,,acc,f
ducti,v,duco,perf,past,participle,passive,,pl,,nom,m
sumus,aux,sum,,praes,finite,active,ind,pl,1,,
in,adp,in,,,,,,,,,
qua,pron,qui,,,,,,sg,,abl,f
tres,num,tres,,,,,,pl,,nom,m
lecti,v,lego,perf,past,participle,passive,,pl,,nom,m
strati,v,stro,perf,past,participle,passive,,pl,,nom,m
erant,aux,sum,imperf,past,finite,active,ind,pl,3,,
reliquus,adi,reliquus,,,,,,sg,,nom,m
lautitiarum,n,lautitia,,,,,,pl,,gen,f
apparatus,v,appareo,perf,past,participle,passive,,sg,,nom,m
splendidissime,adv,splendidier,,,,,,,,,
eitus,unknown_by_cltk,eitus,,,,,,,,,
iussi,adi,iussus,,,,,,pl,,nom,m
discubuimus,v,discubbo,perf,past,finite,active,ind,pl,1,,
gustatione,n,gustatio,,,,,,sg,,abl,f
mirifica,adi,mirificus,,,,,,sg,,abl,f
initiati vino,adi,initiati vino,,,,,,sg,,abl,m
falerno,adi,falernus,,,,,,sg,,abl,n
inundamur,v,inundo,imperf,praes,finite,passive,coni,pl,1,,
excepti,v,excipio,perf,past,participle,passive,,pl,,nom,m
pluribus,adi,multus,,,,,,pl,,abl,m
ferculis,n,fercula,,,,,,pl,,abl,m
laberemur,v,laboro,imperf,praes,finite,passive,coni,pl,1,,
in,adp,in,,,,,,,,,
somnum,n,somnum,,,,,,sg,,acc,m
itane,v,iteo,imperf,praes,finite,active,imperative,sg,2,,
est,aux,sum,,praes,finite,active,ind,sg,3,,
inquit,v,inquam,imperf,praes,finite,active,ind,sg,3,,
quartilla,n,quartilla,,,,,,sg,,nom,f
dormire,v,dormio,imperf,praes,infinitive,active,,,,,
vobis,pron,vobis,,,,,,pl,,dat,m
in,adp,in,,,,,,,,,
mente,n,mens,,,,,,sg,,abl,f
est,v,sum,imperf,praes,finite,active,ind,sg,3,,
sciatis,v,scio,imperf,praes,finite,active,coni,pl,2,,
priapi,n,priapus,,,,,,sg,,acc,n
genio,n,genius,,,,,,sg,,abl,m
pervigilium,adi,pervigilium,,,,,,pl,,gen,n
deberi,v,debeo,imperf,praes,infinitive,passive,,,,,
ascyltos,n,ascyltus,,,,,,sg,,nom,m
gravatus,v,gravatus,perf,past,participle,passive,,sg,,nom,m
tot,pron,tot,,,,,,,,,
malis,n,malus,,,,,,pl,,abl,m
in,adp,in,,,,,,,,,
somnum,n,somnum,,,,,,sg,,acc,m
laberetur,v,labero,imperf,past,finite,passive,coni,sg,3,,
illa,pron,ille,,,,,,sg,,nom,f
quae,pron,qui,,,,,,sg,,nom,f
iniuria,adi,iniurius,,,,,,sg,,nom,f
depulsa,v,depulto,perf,past,participle,passive,,sg,,nom,f
fuerat,aux,sum,perf,pluperfect,finite,active,ind,sg,3,,
ancilla,n,ancilla,,,,,,sg,,nom,f
totam,adi,totus,,,,,,sg,,acc,f
faciem,n,facies,,,,,,sg,,acc,f
eius,pron,is,,,,,,sg,,gen,m
fuligine,n,fuligen,,,,,,sg,,abl,f
longa,adi,longus,,,,,,sg,,acc,n
perfricuit,v,perfricio,perf,past,finite,active,ind,sg,3,,
sentientis,v,sentio,imperf,praes,participle,active,,sg,,gen,m
labra,n,labra,,,,,,pl,,acc,n
umerosque,adi,umerusque,,,,,,pl,,acc,m
sopitionibus,n,sopitio,,,,,,pl,,abl,f
pinxit,v,pingo,perf,past,finite,active,ind,sg,3,,
tot,pron,tot,,,,,,,,,
malis,n,malus,,,,,,pl,,abl,n
fatigatus,v,fatigo,perf,past,participle,passive,,sg,,nom,m
minimum,adi,paruus,,,,,,sg,,acc,n
veluti,n,veluti,,,,,,sg,,gen,m
gustum,n,gustus,,,,,,sg,,acc,m
hauseram,n,hausera,,,,,,sg,,acc,f
somni,n,somnus,,,,,,sg,,gen,n
tota,adi,totus,,,,,,sg,,abl,f
intra,adp,intra,,,,,,,,,
forisque,pron,ego,,,,,,sg,,acc,n
familia,n,familia,,,,,,sg,,abl,f
fecerat,v,facio,perf,pluperfect,finite,active,ind,sg,3,,
alii,pron,alius,,,,,,pl,,nom,m
circa,adp,circa,,,,,,,,,
pedes,n,pes,,,,,,pl,,acc,m
discumbentium,v,discumbo,imperf,praes,participle,active,,pl,,gen,m
sparsi,v,spargo,perf,past,participle,passive,,pl,,nom,m
iacebant,v,iacero,imperf,past,finite,active,ind,pl,3,,
alii,adi,alius,,,,,,pl,,nom,m
parietibus,n,paries,,,,,,pl,,dat,m
appliciti,v,applico,perf,past,participle,passive,,pl,,nom,m
quidam,pron,quidam,,,,,,pl,,nom,m
in,adp,in,,,,,,,,,
ipso,pron,ipse,,,,,,sg,,abl,m
limine,n,limen,,,,,,sg,,abl,m
coniunctis,v,coniungo,perf,past,participle,passive,,pl,,abl,m
manebant,v,maneo,imperf,past,finite,active,ind,pl,3,,
capitibus,n,capitus,,,,,,pl,,dat,n
lucernae,adi,lucernus,,,,,,pl,,nom,f
quoque,adv,quoque,,,,,,,,,
umore,n,umor,,,,,,sg,,abl,m
defectae,v,deficio,perf,past,participle,passive,,pl,,nom,f
tenue,adi,tenus,,,,,,sg,,acc,n
extremum,adi,exterior,,,,,,sg,,acc,n
lumen,n,lumen,,,,,,sg,,acc,n
spargebant,v,spargo,imperf,past,finite,active,ind,pl,3,,
duo,num,duo,,,,,,pl,,nom,m
syri,n,syrus,,,,,,pl,,nom,m
expilaturi,v,expilo,imperf,praes,participle,active,,sg,,nom,m
lagoenam,n,lagoena,,,,,,sg,,acc,f
triclinium,n,triclinium,,,,,,sg,,acc,n
intraverunt,v,intro,perf,past,finite,active,ind,pl,3,,
dumque,adv,dumque,,,,,,,,,
argentum,n,argentum,,,,,,sg,,nom,n
avidius,adv,avidius,,,,,,,,,
rixantur,v,rixo,imperf,praes,finite,passive,ind,pl,3,,
diductam,v,diduco,perf,past,participle,passive,,sg,,acc,f
fregerunt,v,frego,perf,past,finite,active,ind,pl,3,,
lagoenam,n,lagoena,,,,,,sg,,acc,f
cecidit,v,cado,perf,past,finite,active,ind,sg,3,,
mensa,n,mensa,,,,,,sg,,nom,f
argento,n,argens,,,,,,sg,,abl,n
ancillae,n,ancilla,,,,,,sg,,gen,f
torum,n,torus,,,,,,sg,,acc,f
marcentis,v,marco,imperf,praes,participle,active,,sg,,gen,m
excussum,v,excutio,perf,past,participle,passive,,sg,,acc,n
forte,adv,forte,,,,,,,,,
altius,adi,altus,,,,,,sg,,acc,n
poculum,n,poculus,,,,,,sg,,acc,n
caput,n,caput,,,,,,sg,,acc,n
fregit,v,frigo,perf,past,finite,active,ind,sg,3,,
ad,adp,ad,,,,,,,,,
quem,pron,qui,,,,,,sg,,acc,m
ictum,n,ictus,,,,,,sg,,nom,n
exclamavit,v,exclamo,perf,past,finite,active,ind,sg,3,,
illa,pron,ille,,,,,,pl,,acc,n
pariterque,adv,pariterque,,,,,,,,,
fures,n,furis,,,,,,pl,,acc,m
prodidit,v,prodo,perf,past,finite,active,ind,sg,3,,
partem,n,pars,,,,,,sg,,acc,f
ebriorum,adi,ebrius,,,,,,pl,,gen,m
excitavit,v,excito,perf,past,finite,active,ind,sg,3,,
syri,n,syrus,,,,,,pl,,nom,m
illi,pron,ille,,,,,,pl,,nom,m
qui,pron,qui,,,,,,pl,,nom,m
venerant,v,venerant,imperf,past,finite,active,ind,pl,3,,
ad,adp,ad,,,,,,,,,
praedam,n,praeda,,,,,,sg,,acc,f
postquam,adv,postquam,,,,,,,,,
deprehensos,v,deprehendo,perf,past,participle,passive,,pl,,acc,m
se,pron,se,,,,,,pl,,acc,m
intellexerunt,v,intellego,perf,past,finite,active,ind,pl,3,,
pariter,adv,pariter,,,,,,,,,
secundum,adp,secundum,,,,,,,,,
lectum,n,lectus,,,,,,sg,,acc,m
conciderunt,v,concido,perf,past,finite,active,ind,pl,3,,
putares,adi,putaris,,,,,,pl,,nom,m
hoc,pron,hic,,,,,,sg,,acc,n
convenisse,v,convenio,perf,past,infinitive,active,,,,,
stertere,v,sterto,imperf,praes,infinitive,active,,,,,
tanquam,adv,tamquam,,,,,,,,,
olim,adv,olim,,,,,,,,,
dormientes,v,dormio,imperf,praes,participle,active,,pl,,nom,m
coeperunt,v,coepi,perf,past,finite,active,ind,pl,3,,
tricliniarches,n,tricliniarhirxhes,,,,,,pl,,acc,m
experrectus,v,experrosco,perf,past,participle,passive,,sg,,nom,m
lucernis,adi,lucernus,,,,,,pl,,abl,m
occidentibus,v,occido,imperf,praes,participle,active,,pl,,dat,m
oleum,n,oleum,,,,,,sg,,acc,n
infuderat,v,infudio,perf,pluperfect,finite,active,ind,sg,3,,
pueri,n,puer,,,,,,pl,,nom,m
detersis,adp,deterse,,,,,,,,,
paulisper,adi,paulisper,,,,,,pl,,abl,m
oculis,n,oculus,,,,,,pl,,abl,m
redierant,v,redeo,perf,past,finite,active,ind,pl,3,,
ad,adp,ad,,,,,,,,,
ministerium,n,ministerium,,,,,,sg,,acc,n
intrans,v,intro,imperf,praes,participle,active,,sg,,nom,m
cymbalistria,adi,cymbalis,,,,,,pl,,acc,n
concrepans,v,concrepor,imperf,praes,participle,active,,sg,,nom,m
aera,n,aer,,,,,,pl,,acc,f
omnes,pron,omnis,,,,,,pl,,acc,m
excitavit,v,excito,perf,past,finite,active,ind,sg,3,,
refectum,v,reficio,perf,past,participle,passive,,sg,,nom,n
est,aux,sum,,praes,finite,active,ind,sg,3,,
convivium,n,convivium,,,,,,sg,,nom,n
rursus,adv,rursus,,,,,,,,,
quartilla,n,quartilla,,,,,,sg,,nom,f
ad,adp,ad,,,,,,,,,
bibendum,v,bibeo,perf,,gerund,active,,sg,,acc,
revocavit,v,revoco,perf,past,finite,active,ind,sg,3,,
adiuvit,v,adiuvit,perf,past,finite,active,ind,sg,3,,
hilaritatem,n,hilaritas,,,,,,sg,,acc,f
comissantis,v,comitto,imperf,praes,participle,active,,sg,,gen,m
cymbalistria,adi,cymbalis,,,,,,pl,,acc,n
intrat,v,intro,imperf,praes,finite,active,ind,sg,3,,
cinaedus,adi,cinaedus,,,,,,sg,,nom,m
homo,n,homo,,,,,,sg,,nom,m
omnium,pron,omnis,,,,,,pl,,gen,n
insulsissimus,adi,insulsus,,,,,,sg,,nom,m
plane,adp,plane,,,,,,,,,
illa,pron,ille,,,,,,sg,,abl,f
domo,n,domus,,,,,,sg,,abl,f
dignus,adi,dignus,,,,,,sg,,nom,m
qui,pron,qui,,,,,,sg,,nom,m
infractis,v,infracio,perf,past,participle,passive,,pl,,abl,n
manibus,n,manus,,,,,,pl,,abl,f
congemuit,v,congemuo,perf,past,finite,active,ind,sg,3,,
eiusmodi,adv,eiusmodi,,,,,,,,,
carmina,n,carmen,,,,,,pl,,acc,n
effudit,v,effundo,perf,past,finite,active,ind,sg,3,,
huc,adv,huc,,,,,,,,,
huc,adv,huc,,,,,,,,,
convenite,v,convenio,imperf,praes,finite,active,imperative,pl,2,,
nunc,adv,nunc,,,,,,,,,
spatalocinaedi,adi,spatalocinaes,,,,,,pl,,nom,m
pede,n,pes,,,,,,sg,,abl,m
tendite,v,tendo,imperf,praes,finite,active,imperative,pl,2,,
cursum,n,cursus,,,,,,sg,,acc,m
addite,v,addo,imperf,praes,finite,active,imperative,pl,2,,
convolate,v,convolate,imperf,praes,finite,active,imperative,pl,2,,
planta,n,planta,,,,,,sg,,abl,f
femore,n,femur,,,,,,sg,,abl,n
facili,adi,facilis,,,,,,sg,,abl,n
clune,n,clunis,,,,,,sg,,acc,f
agili,adi,agilis,,,,,,sg,,abl,f
manu,n,manus,,,,,,sg,,abl,f
procaces,adi,procax,,,,,,pl,,acc,m
molles,adi,mollis,,,,,,pl,,acc,m
veteres,n,veteres,,,,,,pl,,acc,m
deliaci,adi,deliax,,,,,,sg,,acc,f
manu,n,manus,,,,,,sg,,abl,f
recisi,n,recisum,,,,,,sg,,gen,m
consumptis,v,consumo,perf,past,participle,passive,,pl,,abl,m
versibus,n,versibus,,,,,,pl,,abl,m
suis,adi,suus,,,,,,pl,psor,abl,m
immundissimo,adi,immundus,,,,,,sg,,abl,m
me,pron,ego,,,,,,sg,,acc,m
basio,v,basio,praes,praes,finite,active,ind,sg,1,,
conspuit,v,conspuo,imperf,praes,finite,active,ind,sg,3,,
lectum,n,lectus,,,,,,sg,,acc,m
venit,v,venio,imperf,past,finite,active,ind,sg,3,,
omni,adi,omnis,,,,,,sg,,abl,f
vi,n,vi,,,,,,sg,,abl,f
detexit,v,detigo,perf,past,finite,active,ind,sg,3,,
recusantem,v,recuso,imperf,praes,participle,active,,sg,,acc,f
inguina,n,inguis,,,,,,sg,,nom,f
mea,adi,meus,,,,,,sg psor,psor,nom,f
diu,adv,diu,,,,,,,,,
multumque,adv,multumque,,,,,,,,,
frustra,adv,frustra,,,,,,,,,
moluit,v,moleo,perf,past,finite,active,ind,sg,3,,
profluebant,v,profluo,imperf,past,finite,active,ind,pl,3,,
frontem,n,frons,,,,,,sg,,acc,f
sudantis,v,sudo,imperf,praes,participle,active,,sg,,gen,m
acaciae,n,acacia,,,,,,sg,,gen,f
rivi,n,rivi,,,,,,sg,,gen,m
rugas,n,ruga,,,,,,pl,,acc,f
malarum,adi,malus,,,,,,pl,,gen,f
tantum,adv,tantum,,,,,,,,,
erat,aux,sum,imperf,past,finite,active,ind,sg,3,,
cretae,n,creta,,,,,,sg,,gen,f
putares,adi,putaris,,,,,,pl,,acc,f
detectum,v,deticeo,perf,past,participle,passive,,sg,,acc,m
parietem,n,paries,,,,,,sg,,acc,m
nimbo,n,nimbus,,,,,,sg,,acc,m
laborare,v,laboro,imperf,praes,infinitive,active,,,,,
psyche,n,psycus,,,,,,sg,,nom,f
puellae,n,puella,,,,,,sg,,gen,f
caput,n,caput,,,,,,sg,,acc,n
involverat,v,involverat,perf,pluperfect,finite,active,ind,sg,3,,
flammeo,n,flammeum,,,,,,sg,,dat,m
embasicoetas,adi,embasicoetus,,,,,,sg,,nom,f
praeferebat,v,praefero,imperf,past,finite,active,ind,sg,3,,
facem,n,fax,,,,,,sg,,acc,f
ebriae,adi,ebrius,,,,,,pl,,nom,f
mulieres,n,mulier,,,,,,pl,,nom,f
longum,adi,longus,,,,,,sg,,acc,m
agmen,n,agmen,,,,,,sg,,acc,n
plaudentes,v,plaudo,imperf,praes,participle,active,,pl,,nom,m
fecerant,v,facio,perf,past,finite,active,ind,pl,3,,
thalamumque,n,thalamumque,,,,,,sg,,acc,m
incesta,n,incestus,,,,,,pl,,acc,n
exornaverant,v,exorno,perf,past,finite,active,ind,pl,3,,
veste,n,veste,,,,,,sg,,abl,f
quartilla,adi,quartillus,,,,,,sg,,abl,f
quoque,adv,quoque,,,,,,,,,
iocantium,v,iocor,imperf,praes,participle,active,,pl,,gen,m
libidine,n,libido,,,,,,sg,,abl,f
accensa,v,accendo,perf,past,participle,passive,,sg,,nom,f
ipsa,pron,ipse,,,,,,sg,,abl,f
surrexit,v,surgo,perf,past,finite,active,ind,sg,3,,
correptumque,v,corrimpuo,perf,past,participle,passive,,sg,,acc,n
gitona,n,gitona,,,,,,sg,,acc,n
in,adp,in,,,,,,,,,
cubiculum,n,cubiculum,,,,,,sg,,acc,n
